,episode,time_sec,action,updated action
0,1,180.1,"1,1,0,0,0,1,1,0,1,1,0","1,1,0,0,0,0,0,0,0,0,0"
1,1,180.2,"1,1,0,1,0,1,0,0,1,1,0","1,1,0,0,0,0,0,0,0,0,0"
2,1,180.3,"0,1,1,1,1,1,1,1,1,0,0","0,1,0,0,0,0,0,0,0,0,0"
3,1,180.4,"0,1,1,1,1,0,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0"
4,1,180.5,"0,0,0,0,0,1,0,1,1,1,1","0,0,0,0,0,0,0,0,0,0,1"
5,1,180.6,"1,1,0,1,1,1,0,1,1,1,0","1,1,0,0,0,0,0,0,0,0,0"
6,1,180.7,"1,0,0,1,0,1,0,1,0,1,1","1,0,0,0,0,0,0,0,0,0,1"
7,1,180.8,"1,1,1,1,1,1,0,1,0,1,1","1,1,0,0,0,0,0,0,0,0,1"
8,1,180.9,"0,1,0,0,1,1,0,1,1,0,1","0,1,0,0,0,0,0,0,0,0,1"
9,1,181.0,"1,0,0,1,1,1,0,0,0,1,1","1,0,0,0,0,0,0,0,0,0,1"
10,1,181.1,"1,1,0,0,1,0,0,1,1,0,0","1,1,0,0,0,0,0,0,0,0,0"
11,1,181.2,"1,0,0,0,1,0,0,1,0,1,1","1,0,0,0,0,0,0,0,0,0,1"
12,1,181.3,"1,1,0,1,0,1,0,1,0,1,1","1,1,0,0,0,0,0,0,0,0,1"
13,1,181.4,"0,1,1,1,1,1,0,1,0,0,1","0,1,0,0,0,0,0,0,0,0,1"
14,1,181.5,"1,1,0,1,1,1,0,0,0,0,1","1,1,0,0,0,0,0,0,0,0,1"
15,1,181.6,"1,1,0,1,1,1,1,0,1,1,1","1,1,0,0,0,0,0,0,0,0,1"
16,1,181.7,"1,1,0,1,1,1,0,0,1,1,1","1,1,0,0,0,0,0,0,0,1,1"
17,1,181.8,"1,1,0,1,0,1,0,0,0,1,1","1,1,0,0,0,0,0,0,0,1,1"
18,1,181.9,"0,1,0,1,1,0,0,0,0,1,1","0,1,0,0,0,0,0,0,0,1,1"
19,1,182.0,"1,1,1,0,1,1,0,0,1,1,1","1,1,0,0,0,0,0,0,0,1,1"
20,1,182.1,"1,0,0,1,1,1,0,0,0,0,1","1,0,0,0,0,0,0,0,0,0,1"
21,1,182.2,"1,1,0,1,1,1,0,1,0,1,0","1,1,0,0,0,0,0,0,0,1,0"
22,1,182.3,"1,0,0,0,1,0,0,0,1,1,0","0,0,0,0,0,0,0,0,0,1,0"
23,1,182.4,"1,1,0,1,1,1,0,1,1,1,0","0,1,0,0,0,0,0,0,0,1,0"
24,1,182.5,"0,1,1,1,0,1,1,0,0,1,0","0,1,0,0,0,0,0,0,0,1,0"
25,1,182.6,"1,1,0,1,0,1,0,0,1,1,1","0,1,0,0,0,0,0,0,0,1,1"
26,1,182.7,"0,1,1,1,1,0,0,1,1,0,1","0,1,0,0,0,0,0,0,0,0,1"
27,1,182.8,"1,1,0,1,1,0,1,0,1,1,1","0,1,0,0,0,0,0,0,0,1,1"
28,1,182.9,"1,1,0,1,1,1,0,1,0,1,1","0,1,0,0,0,0,0,0,0,1,1"
29,1,183.0,"1,1,0,0,1,1,1,1,0,1,0","0,1,0,0,0,0,0,0,0,1,0"
30,1,183.1,"1,1,1,0,1,1,1,1,1,1,1","0,1,0,0,0,0,0,0,0,1,1"
31,1,183.2,"1,1,1,1,1,0,0,1,1,1,0","0,1,0,0,0,0,0,0,0,1,0"
32,1,183.3,"1,1,0,1,1,0,1,1,0,1,1","0,1,0,0,0,0,0,0,0,1,1"
33,1,183.4,"1,1,1,0,1,1,1,0,0,1,0","0,1,0,0,0,0,0,0,0,1,0"
34,1,183.5,"1,1,0,1,1,1,1,0,1,1,1","0,1,0,0,0,0,0,0,0,1,1"
35,1,183.6,"1,1,1,1,1,1,0,0,1,1,0","0,1,0,0,0,0,0,0,0,1,0"
36,1,183.7,"1,1,0,0,0,1,0,1,1,0,1","0,1,0,0,0,0,0,0,0,0,1"
37,1,183.8,"1,1,1,0,1,1,0,1,1,1,0","0,1,0,0,0,0,0,0,0,1,0"
38,1,183.9,"1,1,1,1,1,1,0,0,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
39,1,184.0,"1,1,0,1,0,1,0,1,1,1,0","0,1,0,1,0,0,0,1,0,1,0"
40,1,184.1,"1,1,1,0,0,1,1,0,0,1,1","0,1,0,0,0,0,0,0,0,1,1"
41,1,184.2,"1,0,0,0,1,1,0,1,0,1,0","0,0,0,0,0,0,0,1,0,1,0"
42,1,184.3,"1,1,0,0,0,0,0,1,0,1,1","0,1,0,0,0,0,0,1,0,1,1"
43,1,184.4,"1,1,0,1,1,1,1,0,0,0,1","0,1,0,1,0,0,0,0,0,0,1"
44,1,184.5,"1,0,0,0,1,0,1,1,1,0,0","0,0,0,0,0,0,0,1,0,0,0"
45,1,184.6,"1,1,0,0,1,1,1,0,1,1,0","0,1,0,0,0,0,0,0,0,1,0"
46,1,184.7,"1,1,0,1,0,0,0,0,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
47,1,184.8,"0,0,1,1,1,0,0,0,0,1,0","0,0,0,1,0,0,0,0,0,1,0"
48,1,184.9,"0,1,1,1,0,0,0,1,1,1,0","0,1,0,1,0,0,0,1,0,1,0"
49,1,185.0,"0,0,0,1,1,0,0,0,0,1,0","0,0,0,1,0,0,0,0,0,1,0"
50,1,185.1,"1,1,1,1,1,1,0,1,1,1,1","0,1,0,1,0,0,0,1,0,1,1"
51,1,185.2,"1,1,0,1,0,1,0,1,0,1,1","0,1,0,1,0,0,0,1,0,1,1"
52,1,185.3,"0,0,0,1,1,1,0,1,0,0,1","0,0,0,1,0,0,0,1,0,0,1"
53,1,185.4,"1,0,1,1,1,1,0,1,0,0,0","0,0,0,1,0,0,0,1,0,0,0"
54,1,185.5,"0,1,1,1,1,1,0,1,1,1,0","0,1,0,1,0,0,0,1,0,1,0"
55,1,185.6,"1,1,1,1,1,1,0,0,1,1,1","0,1,0,1,0,0,0,0,0,1,1"
56,1,185.7,"1,0,0,1,1,1,0,1,0,1,1","0,0,0,1,0,0,0,1,0,0,1"
57,1,185.8,"1,1,0,1,1,1,0,1,1,0,0","0,1,0,1,0,0,0,1,0,0,0"
58,1,185.9,"0,1,1,1,1,1,0,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
59,1,186.0,"0,1,0,1,1,0,1,0,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
60,1,186.1,"1,0,1,1,1,1,0,0,1,1,0","0,0,0,1,0,0,0,0,0,0,0"
61,1,186.2,"1,1,0,1,1,0,0,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
62,1,186.3,"0,1,1,1,1,0,0,1,1,1,0","0,1,0,1,0,0,0,1,0,0,0"
63,1,186.4,"0,1,0,1,1,1,1,1,1,1,1","0,1,0,1,0,0,0,1,0,0,1"
64,1,186.5,"0,1,1,1,0,0,0,0,1,0,0","0,1,0,1,0,0,0,0,0,0,0"
65,1,186.6,"0,1,0,0,1,1,1,1,0,0,0","0,1,0,0,0,0,0,1,0,0,0"
66,1,186.7,"1,1,1,1,1,1,0,0,1,0,1","0,1,0,1,0,0,0,0,0,0,1"
