,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
0,1697233368844.0,1,1,17.2,32.2,1,True,True
1,1697233368688.0,2,1,7.0,15.0,0,True,True
2,1697233368751.0,3,1,64.4,0.0,0,True,True
3,1697233368850.0,4,1,16.9,0.0,0,True,True
4,1697233368283.0,5,1,68.8,68.8,1,True,True
5,1697233368826.0,6,0,3.5,3.5,0,True,False
6,1697233368788.0,7,1,22.6,43.8,1,True,True
7,1697233368824.0,8,1,33.8,0.0,1,True,True
8,1697233368807.0,9,0,1.7,1.7,0,True,True
9,1697233368774.0,10,0,8.5,23.5,1,True,True
10,1697233368782.0,11,1,27.0,27.0,0,True,True
11,1697233368944.0,1,1,17.3,32.3,1,True,True
12,1697233368888.0,2,1,7.2,15.2,0,True,True
13,1697233368851.0,3,1,64.5,0.0,0,True,True
14,1697233368950.0,4,1,17.0,0.0,0,True,True
15,1697233368383.0,5,1,68.9,68.9,1,True,True
16,1697233368926.0,6,0,3.6,3.6,0,True,True
17,1697233368989.0,7,1,22.8,44.0,1,True,True
18,1697233368924.0,8,1,33.9,0.0,1,True,True
19,1697233368907.0,9,0,1.8,1.8,0,True,True
20,1697233368974.0,10,0,8.7,23.7,1,True,True
21,1697233368882.0,11,0,0.1,27.1,0,True,True
22,1697233369044.0,1,1,17.4,32.4,1,True,True
23,1697233368988.0,2,1,7.3,15.3,0,True,True
24,1697233368951.0,3,1,64.6,0.0,0,True,True
25,1697233369050.0,4,1,17.1,0.0,0,True,True
26,1697233368484.0,5,1,69.0,69.0,1,True,True
27,1697233366679.299,6,0,1.4,1.4,0,True,True
28,1697233366682.2979,7,1,20.5,41.7,1,True,True
29,1697233366684.304,8,1,31.7,0.0,1,True,True
30,1697233369007.0,9,0,1.9,1.9,0,True,True
31,1697233369074.0,10,0,8.8,23.8,1,True,True
32,1697233369082.0,11,0,0.3,27.3,0,True,True
33,1697233369144.0,1,1,17.5,32.5,1,True,True
34,1697233369088.0,2,1,7.4,15.4,0,True,True
35,1697233369151.0,3,1,64.8,0.0,0,True,True
36,1697233369150.0,4,1,17.2,0.0,0,True,True
37,1697233368683.0,5,1,69.2,69.2,1,True,True
38,1697233369026.0,6,0,3.7,3.7,0,True,True
39,1697233369088.0,7,1,22.9,44.1,1,True,True
40,1697233369124.0,8,1,34.1,0.0,1,True,True
41,1697233369107.0,9,0,2.0,2.0,0,True,True
42,1697233369174.0,10,0,8.9,23.9,1,True,True
43,1697233366819.289,11,0,-2.0,25.0,0,True,True
44,1697233369344.0,1,1,17.7,32.7,1,True,True
45,1697233369188.0,2,1,7.5,15.5,0,True,True
46,1697233369251.0,3,1,64.9,0.0,0,False,True
47,1697233369250.0,4,1,17.3,0.0,0,True,True
48,1697233368783.0,5,1,69.3,69.3,1,True,True
49,1697233369226.0,6,0,3.9,3.9,0,True,True
50,1697233369288.0,7,1,23.1,44.3,1,True,True
51,1697233369224.0,8,1,34.2,0.0,1,True,True
52,1697233369307.0,9,0,2.2,2.2,0,True,True
53,1697233369274.0,10,0,9.0,24.0,1,True,True
54,1697233369182.0,11,0,0.4,27.4,0,True,True
55,1697233367041.306,1,1,15.4,30.4,1,True,True
56,1697233369288.0,2,1,7.6,15.6,0,True,True
57,1697233369351.0,3,1,65.0,0.0,0,True,True
58,1697233369451.0,4,1,17.5,0.0,0,True,True
59,1697233368883.0,5,1,69.4,69.4,1,True,True
60,1697233369326.0,6,0,4.0,4.0,0,True,True
61,1697233369388.0,7,1,23.2,44.4,1,True,True
62,1697233369324.0,8,1,34.3,0.0,1,True,True
63,1697233369408.0,9,0,2.3,2.3,0,True,True
64,1697233369374.0,10,0,9.1,24.1,1,True,True
65,1697233369382.0,11,0,0.6,27.6,0,True,True
66,1697233369544.0,1,1,17.9,32.9,1,True,True
67,1697233369489.0,2,1,7.8,15.8,0,True,True
68,1697233369452.0,3,1,65.1,0.0,0,True,True
69,1697233369550.0,4,1,17.6,0.0,0,True,True
70,1697233368983.0,5,1,69.5,69.5,1,True,True
71,1697233369427.0,6,0,4.1,4.1,0,True,True
72,1697233369489.0,7,1,23.3,44.5,1,True,True
73,1697233369425.0,8,1,34.4,0.0,1,True,True
74,1697233369507.0,9,0,2.4,2.4,0,True,True
75,1697233369475.0,10,0,9.2,24.2,1,True,True
76,1697233369483.0,11,0,0.7,27.7,0,True,True
77,1697233369644.0,1,1,18.0,33.0,1,True,True
78,1697233369588.0,2,1,7.9,15.9,0,True,True
79,1697233369551.0,3,1,65.2,0.0,0,True,True
80,1697233369650.0,4,1,17.7,0.0,0,True,True
81,1697233369083.0,5,1,69.6,69.6,1,True,True
82,1697233369626.0,6,0,4.3,4.3,0,True,True
83,1697233369588.0,7,1,23.4,44.6,1,True,True
84,1697233369524.0,8,1,34.5,0.0,1,True,True
85,1697233369607.0,9,0,2.5,2.5,0,True,True
86,1697233369674.0,10,0,9.4,24.4,1,True,True
87,1697233369582.0,11,0,0.8,27.8,0,True,True
88,1697233369744.0,1,1,18.1,33.1,1,True,True
89,1697233369688.0,2,1,8.0,16.0,0,True,True
90,1697233369651.0,3,1,65.3,0.0,0,True,True
91,1697233369750.0,4,1,17.8,0.0,0,True,True
92,1697233369183.0,5,1,69.7,69.7,1,True,True
93,1697233367363.3,6,0,2.0,2.0,0,True,True
94,1697233369688.0,7,1,23.5,44.7,1,True,True
95,1697233369624.0,8,1,34.6,0.0,1,True,True
96,1697233369707.0,9,0,2.6,2.6,0,True,True
97,1697233369774.0,10,0,9.5,24.5,1,True,True
98,1697233369682.0,11,0,0.9,27.9,0,True,True
99,1697233369844.0,1,1,18.2,33.2,1,True,True
100,1697233369788.0,2,1,8.1,16.1,0,True,True
101,1697233369751.0,3,1,65.4,0.0,0,True,True
102,1697233369850.0,4,1,17.9,0.0,0,True,True
103,1697233369283.0,5,1,69.8,69.8,1,True,True
104,1697233369726.0,6,0,4.4,4.4,0,True,True
105,1697233369788.0,7,1,23.6,44.8,1,True,True
106,1697233369724.0,8,1,34.7,0.0,1,True,True
107,1697233369807.0,9,0,2.7,2.7,0,True,True
108,1697233369874.0,10,0,9.6,24.6,1,True,True
109,1697233369782.0,11,0,1.0,28.0,0,True,True
110,1697233369944.0,1,1,18.3,33.3,1,True,True
111,1697233369888.0,2,1,8.2,16.2,0,True,True
112,1697233369951.0,3,1,65.6,0.0,0,True,True
113,1697233369950.0,4,1,18.0,0.0,0,True,True
114,1697233369383.0,5,1,69.9,69.9,1,True,True
115,1697233369826.0,6,0,4.5,4.5,0,True,True
116,1697233369988.0,7,1,23.8,45.0,1,True,True
117,1697233369924.0,8,1,34.9,0.0,1,True,True
118,1697233369907.0,9,0,2.8,2.8,0,True,True
119,1697233369974.0,10,0,9.7,24.7,1,True,True
120,1697233369982.0,11,0,1.2,28.2,0,True,True
121,1697233370044.0,1,1,18.4,33.4,1,True,True
122,1697233369988.0,2,0,0.1,16.3,0,True,True
123,1697233370051.0,3,1,65.7,0.0,0,True,True
124,1697233370049.0,4,1,18.1,0.0,0,True,True
125,1697233369583.0,5,1,70.1,70.1,1,True,True
126,1697233370026.0,6,0,4.7,4.7,0,True,True
127,1697233370088.0,7,1,23.9,45.1,1,True,True
128,1697233370024.0,8,1,35.0,0.0,1,True,True
129,1697233370007.0,9,0,2.9,2.9,0,True,True
130,1697233370074.0,10,0,9.8,24.8,1,True,True
131,1697233370081.0,11,0,1.3,28.3,0,True,True
132,1697233370144.0,1,1,18.5,33.5,1,True,True
133,1697233370187.0,2,0,0.3,16.5,0,True,True
134,1697233367814.306,3,1,63.5,0.0,0,True,True
135,1697233370149.0,4,1,18.2,0.0,0,True,True
136,1697233369683.0,5,1,70.2,70.2,1,True,True
137,1697233370126.0,6,0,4.8,4.8,0,True,True
138,1697233370188.0,7,1,24.0,45.2,1,True,True
139,1697233370124.0,8,1,35.1,0.0,1,True,True
140,1697233370207.0,9,0,3.1,3.1,0,True,True
141,1697233370174.0,10,0,9.9,24.9,1,True,True
142,1697233370181.0,11,0,1.4,28.4,0,True,True
143,1697233370244.0,1,1,18.6,33.6,1,True,True
144,1697233367923.303,2,0,-2.0,14.2,0,True,True
145,1697233370251.0,3,1,65.9,0.0,0,True,True
146,1697233370349.0,4,1,18.4,0.0,0,True,True
147,1697233369783.0,5,1,70.3,70.3,1,True,True
148,1697233370226.0,6,0,4.9,4.9,0,True,True
149,1697233370288.0,7,1,24.1,45.3,1,True,True
150,1697233370224.0,8,1,35.2,0.0,1,True,True
151,1697233370307.0,9,0,3.2,3.2,0,True,True
152,1697233370274.0,10,1,10.0,25.0,1,False,True
153,1697233370281.0,11,0,1.5,28.5,0,True,True
154,1697233370344.0,1,1,18.7,33.7,1,True,True
155,1697233370287.0,2,0,0.4,16.6,0,True,True
156,1697233370351.0,3,1,66.0,0.0,0,True,True
157,1697233370450.0,4,1,18.5,0.0,0,True,True
158,1697233369883.0,5,1,70.4,70.4,1,True,True
