,time_sec,node,sg_id,demand,sig_state,pedrecall,ped.min.recall,pedwalktime,redduration
0,1697652923476.0,1,2,0.48,1,0,1,23,0.0
1,1697652923476.0,1,7,0.35,0,0,0,0,57.479
2,1697652923476.0,1,6,0.17,1,0,1,0,0.0
3,1697652923476.0,1,1,0.27,0,0,0,0,16.894
4,1697652921712.0,2,1,0.39,0,0,0,0,30.589
5,1697652921712.0,2,2,0.34,0,1,1,29,49.982
6,1697652921712.0,2,3,0.13,0,0,0,0,41.785
7,1697652921712.0,2,4,0.34,0,0,0,39,83.169
8,1697652922319.0,3,1,0.33,1,0,0,0,0.0
9,1697652922319.0,3,2,0.45,0,1,1,31,124.458
10,1697652922319.0,3,3,0.35,0,0,0,0,161.45
11,1697652922319.0,3,4,0.01,0,0,0,26,6.998
12,1697652922871.0,4,1,0.0,0,0,0,0,97.365
13,1697652922871.0,4,2,0.0,0,1,0,26,25.491
14,1697652922871.0,4,3,0.0,0,0,0,0,57.278
15,1697652922871.0,4,4,2.0,1,1,1,22,0.0
16,1697652921556.0,5,1,1.0,0,0,0,0,61.979
17,1697652921556.0,5,2,2.0,0,1,1,19,12.298
18,1697652921556.0,5,4,4.0,0,0,0,23,37.787
19,1697652923514.0,6,2,0.15,0,1,1,17,27.489
20,1697652923514.0,6,4,0.38,0,0,0,25,49.481
21,1697652922865.0,7,2,0.01,0,1,0,20,14.995
22,1697652922865.0,7,4,0.34,1,0,0,20,0.0
23,1697652923503.0,8,2,0.06,0,1,1,21,98.864
24,1697652923503.0,8,4,0.11,0,1,0,29,18.493
25,1697652923503.0,8,1,0.26,0,0,0,0,52.58
26,1697652922821.0,9,2,0.27,1,1,1,18,0.0
27,1697652922821.0,9,4,0.45,0,0,0,20,0.0
28,1697652923628.0,10,2,0.18,1,1,1,0,0.0
29,1697652923628.0,10,4,0.42,0,0,0,20,3.299
30,1697652921524.0,11,1,0.49,0,0,0,0,16.794
31,1697652921524.0,11,2,0.37,0,0,1,20,15.794
32,1697652921524.0,11,3,0.44,0,0,0,0,33.187
33,1697652921524.0,11,4,0.39,0,0,0,20,32.287
34,1697652921524.0,11,5,0.43,0,0,0,0,16.794
35,1697652921524.0,11,6,0.31,0,0,1,20,16.794
36,1697652923575.0,1,2,0.15,1,0,1,23,0.0
37,1697652923575.0,1,7,0.16,0,0,0,0,57.578
38,1697652923575.0,1,6,0.47,1,0,1,0,0.0
39,1697652923575.0,1,1,0.39,0,0,0,0,16.993
40,1697652921812.0,2,1,0.42,0,0,0,0,30.689
41,1697652921812.0,2,2,0.31,0,1,1,29,50.082
42,1697652921812.0,2,3,0.35,0,0,0,0,41.885
43,1697652921812.0,2,4,0.01,0,0,0,39,83.269
44,1697652922420.0,3,1,0.46,1,0,0,0,0.0
45,1697652922420.0,3,2,0.43,0,1,1,31,124.559
46,1697652922420.0,3,3,0.46,0,0,0,0,161.551
47,1697652922420.0,3,4,0.38,0,0,0,26,7.099
48,1697652922971.0,4,1,0.0,0,0,0,0,97.465
49,1697652922971.0,4,2,0.0,0,1,0,26,25.591
50,1697652922971.0,4,3,0.0,0,0,0,0,57.378
51,1697652922971.0,4,4,2.0,1,1,1,22,0.0
52,1697652921656.0,5,1,1.0,0,0,0,0,62.079
53,1697652921656.0,5,2,2.0,0,1,1,19,12.398
